entry_time,leaving_time,stand_id,worker_id
12/11/2021,1/31/2022,1,1
7/24/2021,5/10/2021,2,2
5/17/2021,8/10/2021,3,3
5/21/2021,3/15/2022,4,4
1/22/2022,4/18/2022,5,5
3/24/2022,1/31/2022,6,6
4/28/2021,8/10/2021,7,7
1/2/2022,8/14/2021,8,8
6/27/2021,8/6/2021,9,9
2/11/2022,6/1/2021,10,10
2/14/2022,6/26/2021,11,11
9/5/2021,7/21/2021,12,12
3/23/2022,10/22/2021,13,13
4/25/2021,10/1/2021,14,14
4/22/2022,12/28/2021,15,15
6/25/2021,6/2/2021,16,16
7/7/2021,12/30/2021,17,17
10/2/2021,8/8/2021,18,18
8/23/2021,9/21/2021,19,19
10/30/2021,2/18/2022,20,20
7/28/2021,8/8/2021,21,21
6/21/2021,5/9/2021,22,22
3/4/2022,9/14/2021,23,23
6/12/2021,12/16/2021,24,24
12/26/2021,6/9/2021,25,25
9/28/2021,8/6/2021,26,26
6/9/2021,5/27/2021,27,27
6/30/2021,7/13/2021,28,28
4/4/2022,3/19/2022,29,29
10/2/2021,2/6/2022,30,30
9/24/2021,1/29/2022,31,31
11/13/2021,9/12/2021,32,32
7/9/2021,10/17/2021,33,33
12/29/2021,12/15/2021,34,34
12/10/2021,11/25/2021,35,35
5/8/2021,9/13/2021,36,36
12/15/2021,1/25/2022,37,37
6/9/2021,4/7/2022,38,38
9/29/2021,2/5/2022,39,39
4/20/2022,10/24/2021,40,40
1/22/2022,10/26/2021,41,41
10/19/2021,9/13/2021,42,42
7/13/2021,3/23/2022,43,43
4/3/2022,4/26/2021,44,44
1/29/2022,7/4/2021,45,45
5/29/2021,5/25/2021,46,46
10/3/2021,7/17/2021,47,47
4/11/2022,10/13/2021,48,48
5/13/2021,2/16/2022,49,49
7/19/2021,11/1/2021,50,50
9/25/2021,3/15/2022,51,51
10/13/2021,10/21/2021,52,52
7/8/2021,5/25/2021,53,53
11/7/2021,3/12/2022,54,54
3/28/2022,1/29/2022,55,55
3/13/2022,11/12/2021,56,56
10/11/2021,7/26/2021,57,57
3/19/2022,7/15/2021,58,58
6/6/2021,3/31/2022,59,59
8/5/2021,5/20/2021,60,60
4/26/2021,12/16/2021,61,61
6/10/2021,2/9/2022,62,62
7/26/2021,4/13/2022,63,63
10/13/2021,5/31/2021,64,64
5/11/2021,5/22/2021,65,65
2/10/2022,4/13/2022,66,66
2/12/2022,6/22/2021,67,67
4/20/2022,4/23/2022,68,68
2/24/2022,6/23/2021,69,69
8/23/2021,5/27/2021,70,70
8/3/2021,12/24/2021,71,71
7/27/2021,1/15/2022,72,72
10/10/2021,7/24/2021,73,73
6/2/2021,9/4/2021,74,74
3/22/2022,2/6/2022,75,75
12/19/2021,2/22/2022,76,76
12/9/2021,2/26/2022,77,77
9/8/2021,10/16/2021,78,78
10/8/2021,7/27/2021,79,79
4/14/2022,4/11/2022,80,80
9/14/2021,9/7/2021,81,81
11/20/2021,6/25/2021,82,82
4/4/2022,9/7/2021,83,83
8/17/2021,12/12/2021,84,84
9/21/2021,11/12/2021,85,85
7/16/2021,1/8/2022,86,86
8/27/2021,11/15/2021,87,87
9/2/2021,4/26/2021,88,88
9/14/2021,5/20/2021,89,89
11/6/2021,5/30/2021,90,90
5/12/2021,12/6/2021,91,91
4/25/2021,8/3/2021,92,92
8/11/2021,12/12/2021,93,93
9/29/2021,10/30/2021,94,94
9/1/2021,5/27/2021,95,95
8/24/2021,12/19/2021,96,96
2/1/2022,8/5/2021,97,97
7/26/2021,2/14/2022,98,98
6/2/2021,3/23/2022,99,99
3/3/2022,8/20/2021,100,100
3/2/2022,11/15/2021,101,101
7/8/2021,12/30/2021,102,102
1/28/2022,4/14/2022,103,103
8/18/2021,9/9/2021,104,104
