stand_id,stand_name,location
1001,Bee-eater (unidentified),Bonner
1002,Beisa oryx,Haas
1003,"Colobus, white-mantled",Meadow Valley
1004,Cape raven,Del Sol
1005,"Grouse, greater sage",Mayer
1006,Green heron,Melby
1007,"Dove, white-winged",Hooker
1008,Common wolf,Hintze
1009,"Tortoise, asian foreset",Johnson
1010,"Baboon, savanna",Ridgeview
1011,Cheetah,Harbort
1012,Blackish oystercatcher,Pawling
1013,Lesser flamingo,Butterfield
1014,"Rhinoceros, white",Dexter
1015,Laughing kookaburra,Gateway
1016,Sage grouse,Novick
1017,"Baboon, gelada",Susan
1018,"Seal, common",Golf View
1019,"Camel, dromedary",Schlimgen
1020,Red sheep,Thierer
1021,Southern hairy-nosed wombat,Hermina
1022,Flightless cormorant,Rockefeller
1023,Cape white-eye,Esch
1024,"Fox, cape",Hooker
1025,Greylag goose,Scofield
1026,Polar bear,Village
1027,"Toucan, red-billed",Summit
1028,Least chipmunk,Chinook
1029,"Quail, gambel's",Leroy
1030,"Macaw, blue and yellow",Jana
1031,Frilled dragon,Mariners Cove
1032,"Lory, rainbow",Miller
1033,Woylie,Carpenter
1034,Amazon parrot (unidentified),Lindbergh
1035,Long-crested hawk eagle,2nd
1036,"Legaan, water",Fair Oaks
1037,"Puffin, horned",Bunting
1038,"Snake, eastern indigo",Knutson
1039,Black-capped capuchin,Bay
1040,"Avocet, pied",Crowley
1041,Black-capped chickadee,Cardinal
1042,Vine snake (unidentified),Victoria
1043,Black and white colobus,Village Green
1044,"Wildebeest, blue",Del Sol
1045,Chilean flamingo,Maryland
1046,"Macaw, green-winged",Crowley
1047,Burchell's gonolek,Myrtle
1048,"Possum, western pygmy",Muir
1049,"Sifaka, verreaux's",Carpenter
1050,Bobcat,Clarendon
1051,"Peacock, indian",Armistice
1052,Violet-crested turaco,Russell
1053,"Partridge, coqui",Lakewood Gardens
1054,"Bear, grizzly",Birchwood
1055,Ring-tailed gecko,Twin Pines
1056,Flightless cormorant,North
1057,"Chickadee, black-capped",Luster
1058,Four-spotted skimmer,Old Shore
1059,"Lizard, mexican beaded",Haas
1060,Dassie,Grasskamp
1061,"Weaver, red-billed buffalo",Thierer
1062,Galapagos tortoise,Meadow Ridge
1063,"Phascogale, red-tailed",Menomonie
1064,Tropical buckeye butterfly,Cordelia
1065,Western pygmy possum,Redwing
1066,White-winged tern,Express
1067,"Rat, desert kangaroo",Sundown
1068,Snowy egret,Annamark
1069,Manatee,Bellgrove
1070,"Starling, cape",Merry
1071,Tailless tenrec,Knutson
1072,"Cat, kaffir",Larry
1073,Large-eared bushbaby,Randy
1074,"Otter, oriental short-clawed",Carpenter
1075,Huron,Messerschmidt
1076,Black-eyed bulbul,Hoard
1077,"Tern, arctic",Di Loreto
1078,House sparrow,Lerdahl
1079,Black-tailed tree creeper,Ridge Oak
1080,Pale-throated three-toed sloth,Dakota
1081,"Reedbuck, bohor",Northport
1082,Black-eyed bulbul,Morning
1083,Mountain duck,Utah
1084,Rufous tree pie,Jenifer
1085,Crab-eating raccoon,Merchant
1086,"Dog, african wild",Fairview
1087,"Snake, green vine",Schlimgen
1088,"Goose, canada",American Ash
1089,Marine iguana,Armistice
1090,"Bear, american black",Mesta
1091,Snow goose,Dryden
1092,Woodchuck,Susan
1093,"Zebra, common",Cambridge
1094,"Raccoon, common",Springview
1095,Jaguarundi,Crownhardt
1096,"Marmot, yellow-bellied",Longview
1097,"Goose, andean",American
1098,Galapagos mockingbird,Clove
1099,Sportive lemur,Dovetail
1100,Grant's gazelle,Elmside
1101,"Kangaroo, jungle",Springview
1102,Tsessebe,Sycamore
1103,Red-necked wallaby,Schlimgen
1104,Great skua,Reindahl
1105,"Vulture, lappet-faced",Lillian
1106,"Pigeon, feral rock",Autumn Leaf
1107,Rufous-collared sparrow,Brown
1108,Pampa gray fox,Debs
1109,"Dragon, netted rock",Quincy
1110,Eastern box turtle,Warrior
1111,"Monster, gila",Maple Wood
1112,Gray rhea,Golf
1113,Sambar,Badeau
1114,White-tailed deer,Graceland
1115,Steller's sea lion,Milwaukee
1116,"Shark, blue",Sheridan
1117,Cook's tree boa,Shelley
1118,Violet-crested turaco,Esker
1119,"Heron, striated",Bellgrove
1120,Dingo,Forest Run
1121,"Mockingbird, galapagos",Mcbride
1122,"Heron, goliath",Delaware
1123,Australian masked owl,Clove
1124,"Hornbill, red-billed",Algoma
1125,Ground legaan,Milwaukee
1126,"Grenadier, purple",Namekagon
1127,"Leopard, indian",Lawn
1128,European badger,Erie
1129,"Devil, tasmanian",Ryan
1130,"Beaver, eurasian",Trailsway
1131,"Skunk, striped",Hovde
1132,"Squirrel, pine",8th
1133,"Puma, south american",Elmside
1134,Lesser masked weaver,Elmside
1135,Cattle egret,Ilene
1136,"Squirrel, grey-footed",Algoma
1137,"Barbet, levaillant's",Northland
1138,"Leopard, indian",East
1139,Serval,Gerald
1140,"Eagle, tawny",Mallory
1141,"Duck, blue",Reindahl
1142,"Puma, south american",Rutledge
1143,Galapagos sea lion,Lien
1144,"Meerkat, red",Homewood
1145,"Crab, sally lightfoot",Jackson
1146,"Legaan, ground",Emmet
1147,Trumpeter swan,Bellgrove
1148,"Brocket, red",Debs
1149,"Darter, african",Autumn Leaf
1150,White-tailed deer,Spohn
1151,"Eagle, african fish",Mitchell
1152,Frilled lizard,Knutson
1153,Spotted hyena,Stoughton
1154,"Toucan, white-throated",Norway Maple
1155,"Peccary, white-lipped",Stone Corner
1156,"Hyena, brown",Hoepker
1157,"Kangaroo, brush-tailed rat",Kensington
1158,Swallow-tail gull,Riverside
1159,Sockeye salmon,Stuart
1160,Red-tailed wambenger,Rusk
1161,Swallow (unidentified),Reindahl
1162,Four-horned antelope,Kedzie
1163,Brown and yellow marshbird,Maple
1164,Bat-eared fox,Lotheville
1165,"Antelope, roan",Kim
1166,Bird (unidentified),Spenser
1167,"Gull, swallow-tail",Clarendon
1168,"Eagle, crowned",Derek
1169,"Genet, small-spotted",Gale
1170,"Bee-eater, white-fronted",Mandrake
1171,Collared lizard,Blaine
1172,White-necked stork,Nelson
1173,"Bulbul, african red-eyed",Lerdahl
1174,"Wambenger, red-tailed",Dixon
1175,Southern screamer,Meadow Ridge
1176,Comb duck,Pankratz
1177,Cape cobra,Ryan
1178,"Monkey, rhesus",Mcbride
1179,Greater blue-eared starling,American
1180,"Glider, feathertail",Elmside
1181,Giant otter,Granby
1182,Raccoon dog,Meadow Ridge
1183,"Goldeneye, common",Delladonna
1184,Chuckwalla,Jenna
1185,White-fronted bee-eater,Sullivan
1186,"Tortoise, galapagos",Surrey
1187,Wood pigeon,Nobel
1188,House crow,Sutteridge
1189,"Coot, red-knobbed",Springs
1190,"Kangaroo, jungle",Claremont
1191,Large cormorant,Farwell
1192,"Heron, black-crowned night",Chive
1193,Gerbil (unidentified),Blaine
1194,Cape Barren goose,Elmside
1195,Horned rattlesnake,Bartelt
1196,Red meerkat,Scott
1197,Cape clawless otter,Swallow
1198,White-fronted bee-eater,Toban
1199,Red kangaroo,Independence
1200,"Jackal, black-backed",Eastlawn
1201,"Hyena, striped",Ruskin
1202,"Francolin, coqui",Kim
1203,Emerald-spotted wood dove,Dixon
1204,Sportive lemur,Grasskamp
1205,"Capuchin, weeper",Mcguire
1206,"Waxbill, violet-eared",Corry
1207,North American beaver,Trailsway
1208,Mexican boa,Pawling
1209,Komodo dragon,Mallard
1210,Plains zebra,Atwood
1211,Caracara (unidentified),Beilfuss
1212,Common pheasant,Harbort
1213,"Glider, feathertail",Pleasure
1214,Western patch-nosed snake,Goodland
1215,"Openbill, asian",Mendota
1216,"Capuchin, white-fronted",Hintze
1217,Lizard (unidentified),Harbort
1218,Reindeer,Hallows
1219,Swamp deer,Banding
1220,Ostrich,Daystar
1221,Russian dragonfly,Drewry
1222,"Baboon, olive",Dottie
1223,Red-shouldered glossy starling,Union
1224,Mallard,Reinke
1225,Collared lizard,Morrow
1226,"Bird, red-billed tropic",Summer Ridge
1227,"Dove, mourning collared",Haas
1228,"Fox, savanna",Ohio
1229,"Goldeneye, common",Dayton
1230,"Flicker, field",Haas
1231,Gulls (unidentified),Bunker Hill
1232,Waved albatross,Menomonie
1233,Magnificent frigate bird,Hermina
1234,Blue peacock,Shoshone
1235,Brown hyena,Red Cloud
1236,Jaguar,Garrison
1237,"Racer, blue",Hazelcrest
1238,Secretary bird,Waywood
1239,Pig-tailed macaque,Carpenter
1240,"Bird, magnificent frigate",Fairview
1241,Agouti,Messerschmidt
1242,Lesser flamingo,Mendota
1243,"Monkey, vervet",Summer Ridge
1244,"Hyena, brown",Amoth
1245,"Kite, black",Jay
1246,"Porcupine, tree",Bonner
1247,Two-banded monitor,Independence
1248,Tarantula,Upham
1249,Jungle kangaroo,Duke
1250,"Civet, common palm",Bluejay
1251,Springbok,Kingsford
1252,"Kudu, greater",Ramsey
1253,Bahama pintail,Marquette
1254,Laughing kookaburra,Rieder
