lost_item_id,type_of_item,discovery_time,return_time,last_announcement_time,degree_of_importance,worker_id,visitor_id
1,"Cheese - Romano, Grated",25/12/2021,21/07/2021,18/10/2021,S,1,1
2,"Salmon - Atlantic, Skin On",08/05/2021,24/03/2022,13/06/2021,XL,2,2
3,"Bread - Rolls, Corn",17/05/2021,02/04/2022,11/10/2021,XS,3,3
4,"Pasta - Rotini, Dry",27/07/2021,06/03/2022,06/09/2021,3XL,4,4
5,Turkey Leg With Drum And Thigh,17/03/2022,14/04/2022,07/10/2021,2XL,5,5
6,Appetizer - Sausage Rolls,14/09/2021,24/07/2021,05/10/2021,L,6,6
7,Appetizer - Southwestern,05/09/2021,14/01/2022,15/12/2021,XL,7,7
8,Pears - Anjou,21/07/2021,05/04/2022,18/03/2022,S,8,8
9,Passion Fruit,15/07/2021,24/04/2022,22/01/2022,XL,9,9
10,"Chicken - Thigh, Bone In",10/05/2021,24/07/2021,05/03/2022,S,10,10
11,Wine - Casillero Del Diablo,17/04/2022,25/09/2021,22/02/2022,2XL,11,11
12,Wine - White Cab Sauv.on,07/06/2021,26/08/2021,06/03/2022,L,12,12
13,Cheese - Wine,15/08/2021,24/05/2021,03/07/2021,M,13,13
14,"Syrup - Monin, Amaretta",02/05/2021,16/06/2021,06/01/2022,S,14,14
15,Potatoes - Peeled,10/03/2022,27/06/2021,24/10/2021,S,15,15
16,Garlic,21/08/2021,25/04/2021,15/03/2022,2XL,16,16
17,Soup - Campbells Bean Medley,06/03/2022,08/03/2022,09/05/2021,3XL,17,17
18,Rootbeer,13/11/2021,24/04/2022,14/08/2021,2XL,18,18
19,"Soup - Campbells, Spinach Crm",13/12/2021,08/11/2021,19/08/2021,S,19,19
20,Ostrich - Prime Cut,11/04/2022,22/12/2021,19/03/2022,3XL,20,20
21,Yukon Jack,11/10/2021,08/07/2021,31/05/2021,L,21,21
22,Wine - Vouvray Cuvee Domaine,06/05/2021,19/02/2022,13/09/2021,XL,22,22
23,Bar Bran Honey Nut,13/11/2021,21/11/2021,15/05/2021,3XL,23,23
